Width,Height,Dimension,Dataset
29,30,30,Training
30,30,30,Training
30,30,30,Training
31,31,31,Training
30,32,32,Training
31,31,31,Training
33,34,34,Training
34,35,35,Training
33,34,34,Training
36,36,36,Training
35,36,36,Training
37,38,38,Training
37,38,38,Training
40,39,40,Training
41,42,42,Training
44,44,44,Training
46,44,46,Training
47,48,48,Training
50,48,50,Training
53,51,53,Training
57,54,57,Training
59,58,59,Training
63,61,63,Training
70,70,70,Training
76,76,76,Training
85,86,86,Training
97,97,97,Training
108,110,110,Training
124,127,127,Training
144,148,148,Training
29,30,30,Training
30,30,30,Training
30,29,30,Training
31,31,31,Training
31,31,31,Training
32,32,32,Training
33,34,34,Training
34,33,34,Training
33,33,33,Training
34,33,34,Training
36,35,36,Training
35,36,36,Training
36,36,36,Training
36,36,36,Training
37,36,37,Training
38,38,38,Training
38,39,39,Training
39,41,41,Training
40,41,41,Training
42,43,43,Training
43,43,43,Training
45,45,45,Training
45,47,47,Training
47,48,48,Training
49,49,49,Training
50,52,52,Training
53,54,54,Training
55,56,56,Training
57,59,59,Training
59,61,61,Training
27,26,27,Training
27,28,28,Training
27,28,28,Training
30,29,30,Training
30,29,30,Training
31,31,31,Training
30,30,30,Training
32,31,32,Training
31,32,32,Training
34,33,34,Training
34,34,34,Training
35,35,35,Training
38,37,38,Training
39,39,39,Training
40,39,40,Training
41,41,41,Training
44,44,44,Training
46,45,46,Training
48,47,48,Training
51,50,51,Training
52,52,52,Training
55,55,55,Training
59,59,59,Training
62,63,63,Training
69,70,70,Training
74,75,75,Training
83,85,85,Training
92,95,95,Training
107,108,108,Training
122,124,124,Training
27,28,28,Training
28,29,29,Training
29,28,29,Training
29,30,30,Training
28,30,30,Training
31,31,31,Training
33,32,33,Training
31,33,33,Training
33,33,33,Training
34,34,34,Training
36,35,36,Training
37,37,37,Training
37,36,37,Training
38,39,39,Training
40,39,40,Training
41,40,41,Training
43,44,44,Training
43,45,45,Training
47,46,47,Training
50,50,50,Training
51,52,52,Training
53,54,54,Training
58,57,58,Training
62,60,62,Training
64,61,64,Training
70,69,70,Training
76,75,76,Training
85,84,85,Training
94,93,94,Training
109,104,109,Training
55,59,59,Training
56,60,60,Training
56,60,60,Training
57,61,61,Training
59,62,62,Training
59,63,63,Training
59,66,66,Training
63,68,68,Training
63,69,69,Training
65,70,70,Training
66,71,71,Training
68,72,72,Training
70,73,73,Training
70,74,74,Training
70,74,74,Training
72,75,75,Training
74,79,79,Training
74,80,80,Training
76,80,80,Training
77,82,82,Training
80,84,84,Training
81,85,85,Training
81,88,88,Training
84,88,88,Training
85,89,89,Training
86,93,93,Training
90,96,96,Training
95,100,100,Training
98,106,106,Training
107,110,110,Training
27,27,27,Training
29,27,29,Training
29,28,29,Training
30,28,30,Training
32,30,32,Training
31,30,31,Training
32,29,32,Training
33,30,33,Training
32,32,32,Training
34,33,34,Training
34,33,34,Training
35,33,35,Training
37,35,37,Training
37,37,37,Training
38,37,38,Training
42,39,42,Training
43,40,43,Training
43,43,43,Training
45,44,45,Training
47,45,47,Training
49,47,49,Training
52,49,52,Training
56,54,56,Training
59,58,59,Training
63,62,63,Training
71,65,71,Training
76,72,76,Training
83,82,83,Training
95,94,95,Training
109,108,109,Training
34,36,36,Training
36,37,37,Training
35,38,38,Training
36,39,39,Training
37,39,39,Training
38,40,40,Training
39,41,41,Training
41,42,42,Training
41,43,43,Training
41,44,44,Training
42,45,45,Training
45,47,47,Training
46,49,49,Training
48,51,51,Training
50,53,53,Training
53,55,55,Training
54,56,56,Training
55,58,58,Training
56,61,61,Training
60,64,64,Training
63,69,69,Training
68,73,73,Training
72,76,76,Training
75,81,81,Training
82,85,85,Training
85,87,87,Training
92,95,95,Training
97,100,100,Training
105,109,109,Training
112,118,118,Training
56,57,57,Training
55,57,57,Training
56,56,56,Training
58,58,58,Training
59,59,59,Training
57,59,59,Training
57,59,59,Training
57,59,59,Training
60,60,60,Training
61,61,61,Training
61,62,62,Training
63,62,63,Training
65,65,65,Training
68,68,68,Training
68,69,69,Training
69,70,70,Training
71,72,72,Training
72,74,74,Training
74,74,74,Training
79,80,80,Training
81,81,81,Training
82,82,82,Training
85,86,86,Training
89,88,89,Training
93,94,94,Training
97,96,97,Training
100,104,104,Training
105,107,107,Training
108,110,110,Training
114,118,118,Training
30,32,32,Training
30,33,33,Training
31,33,33,Training
32,33,33,Training
32,33,33,Training
34,33,34,Training
36,34,36,Training
37,35,37,Training
37,36,37,Training
38,37,38,Training
38,39,39,Training
38,39,39,Training
39,39,39,Training
39,41,41,Training
40,42,42,Training
42,43,43,Training
44,45,45,Training
44,46,46,Training
46,46,46,Training
48,46,48,Training
48,48,48,Training
51,50,51,Training
53,53,53,Training
55,54,55,Training
57,55,57,Training
59,57,59,Training
61,57,61,Training
63,60,63,Training
68,61,68,Training
71,67,71,Training
46,48,48,Training
45,47,47,Training
46,48,48,Training
46,47,47,Training
46,47,47,Training
46,48,48,Training
47,49,49,Training
50,50,50,Training
50,51,51,Training
49,50,50,Training
50,51,51,Training
52,53,53,Training
52,55,55,Training
52,55,55,Training
54,56,56,Training
52,55,55,Training
53,55,55,Training
54,56,56,Training
56,57,57,Training
57,56,57,Training
57,57,57,Training
58,58,58,Training
60,59,60,Training
62,63,63,Training
63,64,64,Training
63,64,64,Training
64,64,64,Training
70,68,70,Training
72,69,72,Training
74,70,74,Training
25,26,26,Training
27,27,27,Training
27,27,27,Training
28,28,28,Training
27,30,30,Training
29,31,31,Training
29,32,32,Training
33,33,33,Training
34,33,34,Training
35,35,35,Training
36,37,37,Training
37,38,38,Training
37,37,37,Training
37,39,39,Training
39,39,39,Training
41,41,41,Training
42,43,43,Training
46,45,46,Training
50,49,50,Training
54,53,54,Training
54,56,56,Training
58,59,59,Training
63,64,64,Training
70,72,72,Training
76,79,79,Training
86,86,86,Training
98,98,98,Training
114,117,117,Training
134,141,141,Training
164,170,170,Training
40,40,40,Training
41,42,42,Training
43,42,43,Training
44,46,46,Training
49,47,49,Training
52,51,52,Training
53,52,53,Training
60,61,61,Training
62,65,65,Training
73,75,75,Training
83,80,83,Training
92,88,92,Training
28,29,29,Training
31,32,32,Training
31,32,32,Training
33,32,33,Training
32,32,32,Training
34,35,35,Training
34,36,36,Training
36,37,37,Training
37,38,38,Training
39,39,39,Training
41,41,41,Training
44,43,44,Training
47,46,47,Training
48,48,48,Training
50,51,51,Training
55,55,55,Training
59,59,59,Training
63,64,64,Training
30,28,30,Training
29,30,30,Training
29,31,31,Training
30,30,30,Training
32,31,32,Training
33,32,33,Training
32,34,34,Training
34,32,34,Training
33,35,35,Training
34,35,35,Training
36,36,36,Training
38,38,38,Training
39,39,39,Training
39,40,40,Training
42,40,42,Training
43,43,43,Training
46,44,46,Training
47,46,47,Training
49,47,49,Training
51,50,51,Training
50,49,50,Training
53,52,53,Training
55,53,55,Training
57,55,57,Training
58,57,58,Training
59,57,59,Training
61,59,61,Training
62,62,62,Training
63,63,63,Training
64,63,64,Training
44,50,50,Training
43,49,49,Training
44,50,50,Training
43,50,50,Training
43,51,51,Training
44,51,51,Training
46,53,53,Training
46,54,54,Training
46,55,55,Training
47,56,56,Training
50,58,58,Training
50,59,59,Training
51,59,59,Training
52,62,62,Training
55,63,63,Training
55,67,67,Training
57,70,70,Training
61,72,72,Training
62,76,76,Training
64,77,77,Training
69,81,81,Training
73,84,84,Training
76,89,89,Training
83,95,95,Training
88,101,101,Training
96,108,108,Training
106,117,117,Training
109,123,123,Training
122,135,135,Training
140,148,148,Training
50,49,50,Training
51,51,51,Training
52,52,52,Training
53,53,53,Training
54,54,54,Training
55,56,56,Training
56,56,56,Training
57,57,57,Training
58,58,58,Training
59,59,59,Training
60,59,60,Training
61,62,62,Training
62,63,63,Training
64,64,64,Training
69,64,69,Training
69,67,69,Training
71,69,71,Training
74,71,74,Training
75,72,75,Training
80,75,80,Training
82,77,82,Training
84,81,84,Training
86,83,86,Training
88,84,88,Training
88,86,88,Training
95,92,95,Training
97,96,97,Training
100,98,100,Training
107,104,107,Training
112,110,112,Training
44,47,47,Training
44,46,46,Training
43,46,46,Training
43,47,47,Training
43,47,47,Training
43,47,47,Training
46,50,50,Training
46,49,49,Training
45,49,49,Training
46,51,51,Training
47,51,51,Training
48,51,51,Training
47,50,50,Training
49,53,53,Training
48,52,52,Training
48,55,55,Training
51,54,54,Training
51,56,56,Training
51,56,56,Training
54,58,58,Training
53,59,59,Training
53,59,59,Training
56,61,61,Training
57,62,62,Training
57,62,62,Training
60,64,64,Training
60,65,65,Training
62,70,70,Training
64,72,72,Training
68,74,74,Training
28,30,30,Training
28,29,29,Training
30,30,30,Training
30,31,31,Training
31,31,31,Training
33,33,33,Training
33,34,34,Training
34,33,34,Training
33,33,33,Training
34,34,34,Training
35,34,35,Training
36,36,36,Training
38,37,38,Training
38,37,38,Training
39,39,39,Training
40,40,40,Training
41,40,41,Training
42,42,42,Training
43,44,44,Training
45,44,45,Training
46,45,46,Training
47,47,47,Training
51,50,51,Training
55,53,55,Training
57,55,57,Training
57,58,58,Training
59,60,60,Training
63,64,64,Training
69,68,69,Training
73,71,73,Training
29,28,29,Training
31,29,31,Training
31,30,31,Training
31,31,31,Training
30,29,30,Training
31,31,31,Training
30,32,32,Training
32,32,32,Training
32,34,34,Training
34,33,34,Training
36,34,36,Training
36,35,36,Training
37,36,37,Training
37,38,38,Training
37,37,37,Training
39,39,39,Training
41,41,41,Training
41,42,42,Training
44,44,44,Training
45,45,45,Training
47,47,47,Training
48,49,49,Training
51,51,51,Training
54,53,54,Training
57,56,57,Training
60,59,60,Training
64,64,64,Training
71,71,71,Training
76,76,76,Training
84,86,86,Training
27,28,28,Training
29,29,29,Training
29,31,31,Training
30,33,33,Training
31,33,33,Training
29,31,31,Training
30,32,32,Training
31,33,33,Training
33,35,35,Training
35,36,36,Training
36,37,37,Training
37,36,37,Training
38,39,39,Training
40,40,40,Training
40,40,40,Training
41,42,42,Training
42,42,42,Training
45,43,45,Training
47,45,47,Training
48,46,48,Training
50,48,50,Training
54,52,54,Training
57,55,57,Training
59,58,59,Training
64,63,64,Training
73,71,73,Training
79,77,79,Training
91,88,91,Training
104,107,107,Training
121,124,124,Training
28,30,30,Training
28,29,29,Training
28,29,29,Training
30,31,31,Training
30,32,32,Training
30,32,32,Training
30,32,32,Training
33,34,34,Training
33,34,34,Training
34,36,36,Training
35,36,36,Training
37,37,37,Training
37,38,38,Training
38,40,40,Training
39,41,41,Training
41,42,42,Training
43,43,43,Training
44,45,45,Training
45,48,48,Training
49,48,49,Training
52,51,52,Training
54,53,54,Training
57,56,57,Training
60,60,60,Training
64,63,64,Training
68,69,69,Training
74,75,75,Training
84,83,84,Training
97,97,97,Training
108,109,109,Training
42,42,42,Training
43,43,43,Training
44,43,44,Training
45,44,45,Training
45,46,46,Training
45,45,45,Training
46,45,46,Training
47,46,47,Training
47,48,48,Training
47,49,49,Training
48,49,49,Training
50,51,51,Training
50,52,52,Training
50,52,52,Training
51,54,54,Training
52,54,54,Training
53,56,56,Training
55,58,58,Training
56,60,60,Training
58,60,60,Training
58,61,61,Training
60,63,63,Training
62,66,66,Training
64,69,69,Training
69,71,71,Training
72,74,74,Training
75,80,80,Training
81,82,82,Training
84,86,86,Training
92,93,93,Training
30,28,30,Training
30,28,30,Training
30,31,31,Training
32,31,32,Training
32,31,32,Training
31,32,32,Training
33,32,33,Training
33,32,33,Training
32,33,33,Training
34,33,34,Training
34,34,34,Training
36,36,36,Training
38,38,38,Training
38,39,39,Training
39,40,40,Training
40,40,40,Training
40,39,40,Training
41,41,41,Training
42,42,42,Training
44,44,44,Training
46,46,46,Training
48,49,49,Training
50,51,51,Training
54,57,57,Training
61,61,61,Training
68,63,68,Training
75,71,75,Training
82,76,82,Training
94,84,94,Training
124,105,124,Training
25,27,27,Training
27,28,28,Training
27,27,27,Training
26,28,28,Training
29,29,29,Training
28,28,28,Training
29,29,29,Training
30,32,32,Training
32,32,32,Training
33,34,34,Training
32,34,34,Training
34,36,36,Training
35,37,37,Training
36,38,38,Training
39,39,39,Training
41,40,41,Training
43,41,43,Training
44,44,44,Training
46,46,46,Training
47,48,48,Training
50,50,50,Training
53,53,53,Training
56,56,56,Training
60,61,61,Training
68,69,69,Training
76,76,76,Training
85,87,87,Training
100,100,100,Training
121,120,121,Training
144,144,144,Training
33,35,35,Training
34,34,34,Training
35,34,35,Training
35,36,36,Training
37,37,37,Training
37,37,37,Training
37,38,38,Training
37,38,38,Training
37,39,39,Training
39,41,41,Training
40,42,42,Training
42,41,42,Training
42,43,43,Training
44,43,44,Training
46,45,46,Training
47,46,47,Training
47,47,47,Training
49,48,49,Training
51,51,51,Training
52,52,52,Training
53,54,54,Training
56,57,57,Training
59,58,59,Training
63,63,63,Training
68,69,69,Training
71,72,72,Training
74,77,77,Training
82,81,82,Training
91,92,92,Training
98,98,98,Training
32,33,33,Training
34,34,34,Training
34,34,34,Training
35,36,36,Training
35,35,35,Training
35,35,35,Training
35,36,36,Training
36,37,37,Training
38,39,39,Training
39,38,39,Training
41,40,41,Training
41,42,42,Training
42,41,42,Training
43,43,43,Training
45,44,45,Training
45,46,46,Training
46,48,48,Training
49,51,51,Training
50,53,53,Training
53,54,54,Training
55,57,57,Training
58,57,58,Training
61,61,61,Training
62,63,63,Training
67,69,69,Training
69,72,72,Training
75,77,77,Training
84,85,85,Training
92,94,94,Training
100,104,104,Training
37,38,38,Training
39,40,40,Training
39,40,40,Training
40,41,41,Training
41,43,43,Training
43,44,44,Training
45,46,46,Training
46,46,46,Training
47,48,48,Training
49,49,49,Training
50,52,52,Training
53,52,53,Training
55,55,55,Training
57,56,57,Training
57,59,59,Training
60,61,61,Training
62,64,64,Training
67,68,68,Training
71,71,71,Training
74,75,75,Training
76,81,81,Training
81,83,83,Training
85,87,87,Training
87,93,93,Training
94,97,97,Training
98,103,103,Training
106,108,108,Training
109,114,114,Training
118,121,121,Training
124,129,129,Training
29,29,29,Training
29,29,29,Training
28,29,29,Training
30,30,30,Training
30,31,31,Training
30,31,31,Training
31,31,31,Training
31,32,32,Training
32,32,32,Training
33,33,33,Training
32,34,34,Training
34,35,35,Training
36,36,36,Training
36,36,36,Training
36,37,37,Training
37,37,37,Training
40,39,40,Training
41,40,41,Training
41,42,42,Training
42,42,42,Training
43,45,45,Training
45,46,46,Training
46,47,47,Training
48,49,49,Training
50,52,52,Training
49,52,52,Training
53,53,53,Training
56,55,56,Training
60,58,60,Training
64,63,64,Training
44,50,50,Training
45,50,50,Training
46,50,50,Training
46,51,51,Training
47,51,51,Training
47,52,52,Training
49,53,53,Training
49,53,53,Training
50,55,55,Training
51,54,54,Training
54,56,56,Training
55,56,56,Training
55,58,58,Training
56,58,58,Training
57,59,59,Training
59,61,61,Training
59,61,61,Training
61,62,62,Training
62,64,64,Training
65,65,65,Training
68,68,68,Training
70,70,70,Training
69,69,69,Training
73,72,73,Training
75,73,75,Training
76,75,76,Training
79,80,80,Training
81,80,81,Training
83,84,84,Training
83,85,85,Training
27,27,27,Training
27,28,28,Training
27,29,29,Training
27,30,30,Training
28,29,29,Training
28,29,29,Training
29,31,31,Training
30,31,31,Training
30,33,33,Training
31,33,33,Training
32,33,33,Training
32,33,33,Training
32,34,34,Training
34,36,36,Training
34,36,36,Training
36,36,36,Training
38,38,38,Training
39,39,39,Training
40,42,42,Training
39,42,42,Training
42,43,43,Training
45,47,47,Training
47,49,49,Training
48,50,50,Training
50,51,51,Training
54,54,54,Training
57,58,58,Training
59,59,59,Training
62,63,63,Training
71,74,74,Training
31,33,33,Training
30,35,35,Training
33,35,35,Training
33,36,36,Training
34,37,37,Training
34,37,37,Training
36,38,38,Training
37,38,38,Training
37,39,39,Training
38,39,39,Training
39,40,40,Training
40,40,40,Training
41,41,41,Training
40,41,41,Training
43,43,43,Training
44,45,45,Training
47,46,47,Training
49,50,50,Training
51,50,51,Training
53,52,53,Training
55,54,55,Training
59,59,59,Training
63,63,63,Training
71,71,71,Training
76,75,76,Training
83,83,83,Training
88,89,89,Training
100,100,100,Training
110,112,112,Training
132,132,132,Training
32,30,32,Training
31,31,31,Training
33,32,33,Training
35,33,35,Training
36,35,36,Training
36,35,36,Training
38,35,38,Training
38,36,38,Training
38,35,38,Training
38,37,38,Training
39,36,39,Training
38,36,38,Training
38,37,38,Training
38,36,38,Training
40,37,40,Training
39,37,39,Training
39,38,39,Training
41,38,41,Training
41,39,41,Training
41,39,41,Training
42,39,42,Training
44,41,44,Training
44,41,44,Training
45,42,45,Training
45,42,45,Training
42,44,44,Training
48,45,48,Training
48,45,48,Training
50,46,50,Training
52,48,52,Training
25,28,28,Training
27,28,28,Training
27,29,29,Training
27,29,29,Training
26,28,28,Training
26,29,29,Training
26,28,28,Training
26,27,27,Training
27,27,27,Training
28,27,28,Training
28,28,28,Training
28,28,28,Training
28,26,28,Training
28,26,28,Training
28,28,28,Training
30,29,30,Training
30,29,30,Training
30,28,30,Training
30,28,30,Training
29,29,29,Training
29,29,29,Training
29,28,29,Training
28,29,29,Training
29,29,29,Training
31,31,31,Training
32,32,32,Training
32,34,34,Training
32,34,34,Training
33,34,34,Training
34,35,35,Training
26,25,26,Training
28,26,28,Training
28,28,28,Training
28,28,28,Training
30,28,30,Training
30,30,30,Training
31,30,31,Training
29,29,29,Training
31,30,31,Training
34,32,34,Training
34,31,34,Training
33,31,33,Training
35,32,35,Training
36,35,36,Training
37,35,37,Training
37,35,37,Training
39,38,39,Training
40,40,40,Training
40,39,40,Training
42,41,42,Training
43,44,44,Training
45,45,45,Training
48,46,48,Training
49,49,49,Training
52,51,52,Training
55,54,55,Training
60,58,60,Training
63,60,63,Training
67,63,67,Training
73,72,73,Training
51,52,52,Training
50,52,52,Training
49,52,52,Training
50,53,53,Training
51,53,53,Training
53,55,55,Training
56,57,57,Training
57,59,59,Training
58,59,59,Training
60,62,62,Training
63,63,63,Training
64,64,64,Training
68,66,68,Training
69,68,69,Training
72,68,72,Training
74,71,74,Training
76,73,76,Training
76,75,76,Training
80,77,80,Training
80,81,81,Training
83,82,83,Training
85,84,85,Training
86,88,88,Training
92,93,93,Training
96,95,96,Training
99,100,100,Training
106,106,106,Training
108,108,108,Training
113,112,113,Training
119,118,119,Training
31,31,31,Training
31,32,32,Training
32,31,32,Training
34,32,34,Training
35,32,35,Training
33,34,34,Training
32,34,34,Training
32,32,32,Training
34,34,34,Training
34,35,35,Training
36,36,36,Training
39,40,40,Training
39,39,39,Training
40,41,41,Training
41,44,44,Training
43,44,44,Training
45,45,45,Training
47,47,47,Training
48,48,48,Training
48,51,51,Training
51,51,51,Training
53,55,55,Training
55,56,56,Training
58,59,59,Training
60,63,63,Training
68,70,70,Training
72,74,74,Training
76,81,81,Training
82,88,88,Training
88,95,95,Training
29,33,33,Training
29,32,32,Training
28,32,32,Training
